N°;NOMBRE;LATITUD;LONGITUD;MINERAL PRINCIPAL;PROVINCIA;ESTADO;OPERADOR
423;El Peregrino;-37,06531;-59,95587;Granito;Buenos Aires;Producción;Cantera La Ponderosa S.A.
424;Polo Minero;-37,06924;-60,05567;Granito;Buenos Aires;Producción;Polo Minero S.R.L
425;Polo Minero Sector 1 Cantera 1;-37,06943;-60,06463;Granito;Buenos Aires;Producción;Eco Vía S.A.
426;Cerro del Águila;-36,98657;-60,08631;Granito;Buenos Aires;Producción;Cerro del Águila de Olavarría S.A
427;Puma;-36,98253;-60,07787;Granito;Buenos Aires;Producción;Adolfo Guerrico S.A.
428;Águila Azul;-36,97835;-60,07418;Granito;Buenos Aires;Producción;LCE Canteras S.A.
429;Ricardito;-37,04917;-59,99523;Granito;Buenos Aires;Producción;Ricardito del Centro S.R.L.
430;Yacimiento Silvio;-36,97335;-60,08967;Granito;Buenos Aires;Producción;Cantera Piatti S.A.
431;El Mojón;-36,99483;-60,10516;Granito;Buenos Aires;Producción;Canteras Cerro Redondo S.A
432;El Relincho;-37,04802;-60,07836;Granito;Buenos Aires;Producción;Francisco Pereda y otras S.H.
433;El Alomado;-37,07139;-59,69442;Granito;Buenos Aires;Producción;Canteras Yaraví S.A.
434;Azul;-37,18418;-59,96555;Granito;Buenos Aires;Producción;Marengo S.A.I.C.I.F.
435;La Barranca;-38,62938;-62,38278;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Maximiliano Cristián Barrios
436;Bahía;-38,7502;-62,16095;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Luvial S.A.
437;Cydind;-38,75555;-62,16094;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;C.Y.D.I.N.D S.A
438;Espora;-38,70859;-62,14652;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Angel Francisco Mezquita
439;La Veintiunmil;-38,55488;-62,31647;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Decavial S.A.I.C.A.C
440;Las Dos Toscas;-38,62692;-62,41398;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Las Dos Toscas S.R.L
441;Cerro La Tosca;-37,85703;-58,20922;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Juan José Ros y Patricio Ernesto Orsi
442;Maccario;-37,8202;-58,20083;Granito;Buenos Aires;Producción;Pedro Maccario
443;El Morro;-37,73686;-58,41893;Granito;Buenos Aires;Producción;Canteras Yaraví S.A.
444;Yacimiento La María;-37,7513;-58,327;Granito;Buenos Aires;Producción;Cantera Yaraví S.A
445;El Cristo;-37,75334;-58,5719;Granito;Buenos Aires;Producción;Compañía Minera El Destino S.A
446;Napaleofú;-37,65868;-58,69731;Granito;Buenos Aires;Producción;Canteras Yaraví S.A.
447;Pradvial;-38,11512;-58,25929;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Pradvial S.A.
448;Bermeja;-37,67764;-59,26764;Arcillas;Buenos Aires;Producción;Monte Rojo S.A
449;Citrus;-24,956;-65,474;Caliza;Salta;Producción;Carem S.R.L
450;Canteras Arcamin;-37,628;-59,45297;Arcillas;Buenos Aires;Producción;Transportes Arcamin S.A.
451;La Raquel;-37,62487;-59,44426;Arcillas;Buenos Aires;Producción;Juan José Leone
452;La Elisa;-37,62413;-59,43906;Arcillas;Buenos Aires;Producción;Monte Rojo S.A.
453;El Fortín;-37,6368;-59,42549;Arcillas;Buenos Aires;Producción;Sucesión Jorge A. Tagliorette
454;Santa Teresita II;-37,63284;-59,50503;Arcillas;Buenos Aires;Producción;La Martelina S.R.L.
455;Yacimiento Barker;-37,69047;-59,36266;Caliza;Buenos Aires;Producción;Loma Negra C.I.A.S.A.
456;Don Pepe;-37,53029;-59,67835;Arcillas;Buenos Aires;Producción;Sucesión Jorge A. Tagliorette
457;San Bernardo;-37,56764;-59,62789;Arcillas;Buenos Aires;Producción;Minera del Plata S.R.L.
458;Canteras Brandsen S.R.L;-35,15737;-58,2596;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Canteras Brandsen S.R.L
