N°;NOMBRE;LATITUD;LONGITUD;MINERAL PRINCIPAL;PROVINCIA;ESTADO;CONTROLANTE (1°);PORCENTAJE (1°);ORIGEN (1°);CONTROLANTE (2°);ORIGEN (2°);PORCENTAJE (2°);CONTROLANTE (3°);PORCENTAJE (3°);ORIGEN (3°);;;;;;;;;;
160;La Ciénaga;-22,389;-65,073;Plomo;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
161;La Colorada;-24,2475;-66,24944;Hierro;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
162;La Diez;-28,4452027;-66,65041;Litio;La Rioja;Prospección;Udine S.A.;100%;Argentina;;;;;;;;;;;;;;;;
163;La Esperanza;-40,2725;-68,24111111;Plata;Río Negro;Exploración inicial;Valcheta Exploraciones;100%;Argentina;;;;;;;;;;;;;;;;
164;La Esperanza;-24,242;-66,487;Plomo;Salta;Exploración avanzada;;;;;;;;;;;;;;;;;;;
165;La Josefina;-47,86613;-69,37623;Oro;Santa Cruz;Exploración avanzada;Patagonia Gold;95%;Canadá;Fomicruz;Argentina;5%;-;-;-;;;;;;;;;;
166;La Luz - Ivan Trend;-40,649;-68,437;Plomo;Río Negro;Exploración inicial;Trendix Mining SRL;100%;Argentina;;;;;;;;;;;;;;;;
167;La Manchuria;-48,15831;-69,89174;Oro;Santa Cruz;Exploración avanzada;Astra Exploration ;90%;Canadá;Fomicruz;Argentina;10%;-;-;-;;;;;;;;;;
168;La Niquelina;-22,347;-65,221;Niquel;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
169;La Ortiga;-28,79747;-69,4495;Cobre;San Juan;Exploración avanzada;Barrick Mining Corporation;100%;Canadá;;;;-;-;-;;;;;;;;;;
170;La Poma (La negra);-24,241;-66,485;Plomo;Salta;Exploración avanzada;;;;;;;;;;;;;;;;;;;
171;La Poma I;-24,438;-66,303;Plomo;Salta;Exploración avanzada;;;;;;;;;;;;;;;;;;;
172;La Porfiada (Don Eusebio, Don Marcos, Magnetita);-24,336;-65,849;Hierro;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
173;La Providencia;-23,26139;-66,80083;Plata;Jujuy;Producción;Hanaq Group;100%;China;-;-;-;-;-;-;;;;;;;;;;
174;La Victoria;-24,792;-68,061;Hierro;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
175;Lago Seco;-44,3777778;-67,32027778;Uranio;Chubut;Prospección;;;;;;;;;;;;;;;;;;;
176;Laguna Amarilla;-40,905;-67,949;Plata;Río Negro;Exploración inicial;Rio de Oro Exploraciones ;100%;Argentina;;;;;;;;;;;;;;;;
177;Laguna Colorada;-43,91;-68,67;Uranio;Chubut;Exploración avanzada;CNEA;100%;Argentina;-;-;-;-;-;-;;;;;;;;;;
178;Laguna Salada;-44,29626;-67,21681;Uranio;Chubut;Evaluación Económica Preliminar;Jaguar Uranium Corp.;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
179;Laguna Verde (La Borita);-25,35885;-67,4804;Litio;Catamarca;Exploración avanzada;Ultra Lithium Inc. ;100%;Canadá;;;-;-;-;-;;;;;;;;;;
180;Lagunitas (Sepultura);-23,891;-66,249;Oro;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
181;Lama;-29,32967;-69,98827;Oro;San Juan;Exploración avanzada;Barrick Mining Corporation;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
182;Lara (San Antonio, San Jose, TOro Negro);-25,683;-65,366;Cobre;Salta;Prospección;;;;;;;;;;;;;;;;;;;
183;Las Calandrias;-47,60674;-67,51792;Oro;Santa Cruz;Producción;Cerrado Gold Inc.;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
